date,time_interval,quantity
1/2/23,3,6
1/2/23,4,2
1/2/23,5,5
1/2/23,6,17
1/2/23,7,23
1/2/23,8,54
1/2/23,9,135
1/2/23,10,180
1/2/23,11,177
1/2/23,12,157
1/2/23,13,171
1/2/23,14,175
1/2/23,15,144
1/2/23,16,137
1/2/23,17,139
1/2/23,18,137
1/2/23,19,131
1/2/23,20,104
1/2/23,21,65
1/2/23,22,44
1/2/23,23,20
1/2/23,24,1
1/3/23,0,11
1/3/23,1,12
1/3/23,2,7
1/3/23,3,9
1/3/23,4,5
1/3/23,5,7
1/3/23,6,16
1/3/23,7,52
1/3/23,8,91
1/3/23,9,147
1/3/23,10,228
1/3/23,11,228
1/3/23,12,196
1/3/23,13,169
1/3/23,14,188
1/3/23,15,146
1/3/23,16,159
1/3/23,17,151
1/3/23,18,114
1/3/23,19,119
1/3/23,20,93
1/3/23,21,84
1/3/23,22,48
1/3/23,23,29
1/3/23,24,3
1/4/23,0,13
1/4/23,1,16
1/4/23,2,12
1/4/23,3,5
1/4/23,4,4
1/4/23,5,5
1/4/23,6,13
1/4/23,7,44
1/4/23,8,96
1/4/23,9,215
1/4/23,10,286
1/4/23,11,308
1/4/23,12,265
1/4/23,13,249
1/4/23,14,253
1/4/23,15,204
1/4/23,16,190
1/4/23,17,191
1/4/23,18,184
1/4/23,19,142
1/4/23,20,95
1/4/23,21,90
1/4/23,22,60
1/4/23,23,27
1/4/23,24,6
1/5/23,0,20
1/5/23,1,15
1/5/23,2,8
1/5/23,3,6
1/5/23,4,6
1/5/23,5,7
1/5/23,6,11
1/5/23,7,36
1/5/23,8,114
1/5/23,9,215
1/5/23,10,283
1/5/23,11,333
1/5/23,12,277
1/5/23,13,288
1/5/23,14,259
1/5/23,15,221
1/5/23,16,239
1/5/23,17,230
1/5/23,18,220
1/5/23,19,187
1/5/23,20,142
1/5/23,21,142
1/5/23,22,59
1/5/23,23,40
1/5/23,24,9
1/6/23,0,12
1/6/23,1,13
1/6/23,2,11
1/6/23,3,6
1/6/23,4,5
1/6/23,5,9
1/6/23,6,18
1/6/23,7,40
1/6/23,8,116
1/6/23,9,276
1/6/23,10,322
1/6/23,11,357
1/6/23,12,354
1/6/23,13,314
1/6/23,14,353
1/6/23,15,273
1/6/23,16,294
1/6/23,17,256
1/6/23,18,219
1/6/23,19,201
1/6/23,20,169
1/6/23,21,132
1/6/23,22,56
1/6/23,23,40
1/6/23,24,6
1/7/23,0,18
1/7/23,1,14
1/7/23,2,11
1/7/23,3,12
1/7/23,4,8
1/7/23,5,13
1/7/23,6,18
1/7/23,7,40
1/7/23,8,112
1/7/23,9,266
1/7/23,10,313
1/7/23,11,383
1/7/23,12,380
1/7/23,13,316
1/7/23,14,297
1/7/23,15,264
1/7/23,16,250
1/7/23,17,248
1/7/23,18,229
1/7/23,19,183
1/7/23,20,134
1/7/23,21,99
1/7/23,22,63
1/7/23,23,37
1/7/23,24,4
1/8/23,0,25
1/8/23,1,14
1/8/23,2,11
1/8/23,3,5
1/8/23,4,12
1/8/23,5,11
1/8/23,6,23
1/8/23,7,45
1/8/23,8,113
1/8/23,9,225
1/8/23,10,335
1/8/23,11,352
1/8/23,12,373
1/8/23,13,358
1/8/23,14,307
1/8/23,15,315
1/8/23,16,305
1/8/23,17,304
1/8/23,18,281
1/8/23,19,235
1/8/23,20,180
1/8/23,21,114
1/8/23,22,59
1/8/23,23,29
1/8/23,24,4
1/9/23,0,11
1/9/23,1,7
1/9/23,2,7
1/9/23,3,7
1/9/23,4,3
1/9/23,5,8
1/9/23,6,31
1/9/23,7,75
1/9/23,8,159
1/9/23,9,258
1/9/23,10,345
1/9/23,11,373
1/9/23,12,319
1/9/23,13,313
1/9/23,14,264
1/9/23,15,253
1/9/23,16,266
1/9/23,17,267
1/9/23,18,311
1/9/23,19,278
1/9/23,20,215
1/9/23,21,158
1/9/23,22,74
1/9/23,23,38
1/9/23,24,3
1/10/23,0,17
1/10/23,1,8
1/10/23,2,10
1/10/23,3,10
1/10/23,4,4
1/10/23,5,15
1/10/23,6,39
1/10/23,7,80
1/10/23,8,180
1/10/23,9,328
1/10/23,10,370
1/10/23,11,338
1/10/23,12,320
1/10/23,13,310
1/10/23,14,265
1/10/23,15,265
1/10/23,16,235
1/10/23,17,268
1/10/23,18,286
1/10/23,19,264
1/10/23,20,200
1/10/23,21,141
1/10/23,22,81
1/10/23,23,31
1/10/23,24,2
1/11/23,0,9
1/11/23,1,20
1/11/23,2,9
1/11/23,3,6
1/11/23,4,8
1/11/23,5,10
1/11/23,6,32
1/11/23,7,93
1/11/23,8,179
1/11/23,9,303
1/11/23,10,353
1/11/23,11,329
1/11/23,12,320
1/11/23,13,303
1/11/23,14,264
1/11/23,15,247
1/11/23,16,265
1/11/23,17,269
1/11/23,18,291
1/11/23,19,258
1/11/23,20,250
1/11/23,21,155
1/11/23,22,67
1/11/23,23,37
1/11/23,24,3
1/12/23,0,15
1/12/23,1,11
1/12/23,2,5
1/12/23,3,4
1/12/23,4,8
1/12/23,5,13
1/12/23,6,31
1/12/23,7,83
1/12/23,8,186
1/12/23,9,315
1/12/23,10,381
1/12/23,11,346
1/12/23,12,337
1/12/23,13,281
1/12/23,14,275
1/12/23,15,266
1/12/23,16,237
1/12/23,17,248
1/12/23,18,280
1/12/23,19,244
1/12/23,20,217
1/12/23,21,150
1/12/23,22,65
1/12/23,23,39
1/12/23,24,2
1/13/23,0,13
1/13/23,1,7
1/13/23,2,11
1/13/23,3,8
1/13/23,4,7
1/13/23,5,18
1/13/23,6,35
1/13/23,7,83
1/13/23,8,199
1/13/23,9,341
1/13/23,10,366
1/13/23,11,341
1/13/23,12,389
1/13/23,13,230
1/13/23,14,219
1/13/23,15,307
1/13/23,16,290
1/13/23,17,320
