date,time_interval,quantity
2023-05-20,7,127.0
2023-05-20,8,246.0
2023-05-20,9,364.0
2023-05-20,10,437.0
2023-05-20,11,363.0
2023-05-20,12,224.0
2023-05-20,13,374.0
2023-05-20,14,308.0
2023-05-20,15,270.0
2023-05-20,16,282.0
2023-05-20,17,267.0
2023-05-20,18,284.0
2023-05-20,19,273.0
2023-05-20,20,244.0
2023-05-20,21,203.0
2023-05-20,22,97.0
2023-05-20,23,55.0
2023-05-20,24,9.0
2023-05-21,0,26.0
2023-05-21,1,16.0
2023-05-21,2,10.0
2023-05-21,3,15.0
2023-05-21,4,8.0
2023-05-21,5,14.0
2023-05-21,6,21.0
2023-05-21,7,74.0
2023-05-21,8,222.0
2023-05-21,9,357.0
2023-05-21,10,437.0
2023-05-21,11,451.0
2023-05-21,12,390.0
2023-05-21,13,375.0
2023-05-21,14,296.0
2023-05-21,15,325.0
2023-05-21,16,315.0
2023-05-21,17,304.0
2023-05-21,18,290.0
2023-05-21,19,290.0
2023-05-21,20,271.0
2023-05-21,21,245.0
2023-05-21,22,123.0
2023-05-21,23,61.0
2023-05-21,24,4.0
2023-05-22,0,26.0
2023-05-22,1,12.0
2023-05-22,2,3.0
2023-05-22,3,6.0
2023-05-22,4,8.0
2023-05-22,5,23.0
2023-05-22,6,61.0
2023-05-22,7,124.0
2023-05-22,8,231.0
2023-05-22,9,418.0
2023-05-22,10,432.0
2023-05-22,11,311.0
2023-05-22,12,359.0
2023-05-22,13,140.0
2023-05-22,14,352.0
2023-05-22,15,318.0
2023-05-22,16,285.0
2023-05-22,17,263.0
2023-05-22,18,321.0
2023-05-22,19,341.0
2023-05-22,20,305.0
2023-05-22,21,280.0
2023-05-22,22,140.0
2023-05-22,23,50.0
2023-05-22,24,16.0
2023-05-23,0,40.0
2023-05-23,1,7.0
2023-05-23,2,10.0
2023-05-23,3,8.0
2023-05-23,4,12.0
2023-05-23,5,24.0
2023-05-23,6,74.0
2023-05-23,7,142.0
2023-05-23,8,257.0
2023-05-23,9,362.0
2023-05-23,10,381.0
2023-05-23,11,350.0
2023-05-23,12,346.0
2023-05-23,13,302.0
2023-05-23,14,326.0
2023-05-23,15,300.0
2023-05-23,16,231.0
2023-05-23,17,241.0
2023-05-23,18,328.0
2023-05-23,19,355.0
2023-05-23,20,292.0
2023-05-23,21,248.0
2023-05-23,22,121.0
2023-05-23,23,53.0
2023-05-23,24,7.0
2023-05-24,0,19.0
2023-05-24,1,11.0
2023-05-24,2,7.0
2023-05-24,3,12.0
2023-05-24,4,13.0
2023-05-24,5,23.0
2023-05-24,6,75.0
2023-05-24,7,128.0
2023-05-24,8,238.0
2023-05-24,9,404.0
2023-05-24,10,375.0
2023-05-24,11,383.0
2023-05-24,12,354.0
2023-05-24,13,323.0
2023-05-24,14,293.0
2023-05-24,15,256.0
2023-05-24,16,283.0
2023-05-24,17,273.0
2023-05-24,18,291.0
2023-05-24,19,333.0
2023-05-24,20,305.0
2023-05-24,21,253.0
2023-05-24,22,109.0
2023-05-24,23,57.0
2023-05-24,24,10.0
2023-05-25,0,31.0
2023-05-25,1,11.0
2023-05-25,2,4.0
2023-05-25,3,6.0
2023-05-25,4,11.0
2023-05-25,5,27.0
2023-05-25,6,55.0
2023-05-25,7,136.0
2023-05-25,8,245.0
2023-05-25,9,430.0
2023-05-25,10,425.0
2023-05-25,11,414.0
2023-05-25,12,406.0
2023-05-25,13,371.0
2023-05-25,14,299.0
2023-05-25,15,267.0
2023-05-25,16,290.0
2023-05-25,17,257.0
2023-05-25,18,278.0
2023-05-25,19,350.0
2023-05-25,20,306.0
2023-05-25,21,252.0
2023-05-25,22,130.0
2023-05-25,23,65.0
2023-05-25,24,7.0
2023-05-26,0,21.0
2023-05-26,1,21.0
